Lesson_Number,Accompanying_Tag,Accompanying_Section,Accompanying_Subsection,Has_Non_Numbered_After,Non_Numbered_List
357,L,13,2,FALSE,
358,L,13,2,FALSE,
359,L,13,3,FALSE,
360,L,13,4,FALSE,
361,L,13,5,TRUE,§14;EXAM;DONE
362,O,14,1,FALSE,
363,O,14,1,FALSE,
364,E,14,2,TRUE,Q1;CODE;EXCZ;NO.1;FINL;CHLG;§15;APDX;ML;PRMR
365,P,15,1,FALSE,
366,L,15,1,FALSE,
367,L,15,1,FALSE,
368,L,15,2,TRUE,<R
369,L,15,2,FALSE,
370,L,15,2,TRUE,<R
371,L,15,3,FALSE,
372,P,15,3,FALSE,
373,L,15,4,FALSE,
374,L,15,5,TRUE,§16;APDX;ML;DATA;FRME;WORK
375,P,16,1,FALSE,
376,L,16,1,FALSE,
377,L,16,2,FALSE,
378,L,16,2,TRUE,<R
379,L,16,3,FALSE,
380,L,16,3,FALSE,
381,L,16,3,FALSE,
382,L,16,4,FALSE,
383,L,16,5,FALSE,
384,L,16,5,FALSE,
385,L,16,5,FALSE,
386,L,16,5,FALSE,
387,L,16,6,FALSE,
388,L,16,7,FALSE,
389,L,16,8,FALSE,
390,P,16,9,TRUE,<OPT;§17;APDX;PAND;AS;DATA;ANYL
391,P,17,1,FALSE,
392,V,17,1,FALSE,
393,P,17,1,FALSE,
394,L,17,1,TRUE,<R
395,L,17,2,TRUE,<R
396,L,17,2,FALSE,
397,L,17,3,FALSE,
398,L,17,4,TRUE,<R
399,L,17,4,FALSE,
400,L,17,5,TRUE,<R
401,L,17,5,TRUE,<R
402,L,17,5,TRUE,<R
403,E,17,6,FALSE,
404,L,17,7,TRUE,<R;§18;APDX;Num;Py
405,P,18,1,FALSE,
406,V,18,1,FALSE,
407,L,18,1,TRUE,<R
408,P,18,2,FALSE,
409,L,18,2,FALSE,
410,L,18,2,FALSE,
411,L,18,2,FALSE,
412,L,18,2,FALSE,
413,L,18,3,TRUE,<R
414,L,18,3,TRUE,<R
415,L,18,4,TRUE,<R
416,L,18,5,FALSE,
417,L,18,5,TRUE,<R
418,E,18,5,FALSE,
419,L,18,6,FALSE,
420,L,18,6,FALSE,
421,L,18,7,TRUE,<R
422,E,18,8,FALSE,
423,P,18,9,TRUE,<OPT;§19;BO;NUS
424,P,19,1,TRUE,THE;END
